user_id,item_id
0,3421 1422 708 2003 1332 1323 3119 1014 2801 1493
1,232 3101 1246 452 1686 1822 350 2561 3614 3656
2,2774 234 1801 2311 1827 2572 778 221 3157 438
3,487 989 1456 1560 3253 1932 120 2005 382 3628
4,2185 2814 1160 2205 2849 3030 304 802 810 1377
5,1461 3161 2143 2946 2397 743 411 2275 1092 2780
6,2363 802 1545 1868 778 3363 1337 2185 427 2849
7,2397 983 76 2159 1175 1287 672 2315 1160 3660
8,3406 79 232 3101 1630 2345 2023 1700 389 3600
9,423 1179 2527 513 3671 3276 2966 3023 3372 741
10,1456 3253 1404 382 1165 1781 246 361 88 2005
11,3628 1720 3067 1840 3036 2182 1365 3535 2308 462
12,1309 58 1119 3282 1798 1073 3091 90 52 3606
13,772 279 241 2953 2488 2609 28 2290 135 2798
14,1887 617 1337 1052 2256 989 183 3600 3365 1422
15,3153 1316 409 1543 2031 3269 2862 124 607 989
16,295 172 1639 1501 2348 3574 3355 3271 3256 2325
17,785 944 3441 1831 2626 3317 1030 1746 2847 2501
18,3371 493 2763 1216 1839 1848 609 2519 3000 636
19,3406 607 3614 3276 389 1424 1630 989 3101 25
20,3448 863 3402 1382 1807 1304 508 211 1227 1371
21,2118 3434 1919 3090 628 549 2876 3619 1626 2610
22,956 2947 333 3272 94 2617 2963 605 2515 3441
23,1398 1341 530 2932 2306 3475 1227 931 2768 2308
24,1011 6 1403 3141 513 124 3216 320 3652 761
25,2915 3569 41 2289 1309 2339 1218 881 464 2146
26,2528 3583 2281 1762 2774 3677 204 3298 2636 124
27,1490 1809 2128 176 1124 1688 2129 3463 1353 1800
28,3031 1271 189 3333 1546 3051 109 3262 502 2768
29,573 2230 93 1354 3653 3537 2564 3013 187 3272
30,2458 2959 2215 3091 467 3231 3282 482 246 402
31,784 1652 1725 3298 3677 2763 1854 3532 1762 663
32,1543 472 3600 3013 607 232 1316 3101 609 3153
33,1316 3153 1543 2564 3272 3409 472 2862 2402 124
34,2745 601 2974 3159 3382 1190 1401 2127 3110 2292
35,3013 2402 1543 1223 707 3272 3409 1887 2603 989
36,1560 2281 1315 2564 382 650 2774 2862 1505 36
37,2924 609 1332 163 1670 1501 3194 2003 2146 2143
38,1514 3454 356 2734 2499 2412 433 1704 2943 170
39,512 1315 3157 2572 1371 234 1086 1827 778 1687
40,107 3311 1272 1037 739 3363 1868 1545 2653 801
41,320 2488 2931 279 2290 2862 458 2389 184 3151
42,1619 1518 2082 96 3194 3071 1043 128 3658 2185
43,498 618 3653 375 2248 620 2091 3125 796 3364
44,2840 569 3382 2068 2603 2745 1560 989 1781 2470
45,2603 543 2633 2501 1855 1078 1375 2297 169 2659
46,150 3511 3194 3607 2494 2027 902 3166 2492 3426
47,389 1790 1884 3101 1630 79 2892 2345 739 2023
48,3415 3119 1470 1633 2382 1668 3677 427 617 120
49,1316 69 3153 1543 3013 707 1950 2265 3272 1223
50,2956 1711 220 646 339 73 2874 583 99 539
51,3677 1887 2402 183 1811 2528 1668 989 617 120
52,549 351 2593 2409 1818 2118 1343 3040 2545 2049
53,1543 2564 1223 3272 2031 472 2862 707 2402 22
54,128 2275 697 2082 213 96 659 743 2542 3071
55,1037 1545 1272 312 107 452 1337 2653 3363 1884
56,1039 3101 1630 944 702 1700 2931 3577 2023 1822
57,237 3219 3112 205 2494 109 2424 150 577 3233
58,2027 1862 481 1936 2492 3427 1179 3544 2541 402
59,2031 3225 1952 3173 3614 409 589 741 1543 1316
60,513 1993 1706 3652 451 1924 3023 3436 1340 3264
61,1825 1423 3511 1081 1471 2050 1248 1861 2481 1498
62,3332 1855 3082 2928 2659 1927 2732 1401 3048 2784
63,3658 3071 1527 353 890 680 3318 2082 1920 1067
64,1630 3406 1251 1246 1790 1813 2730 232 1700 1822
65,206 185 3185 1836 1092 213 2354 2420 2033 1528
66,457 304 3027 3660 1175 1160 1191 1939 3411 2222
67,3456 2817 2676 1804 2165 1487 2798 2931 136 777
68,472 1300 1037 1868 107 160 3600 1216 452 620
69,913 3248 3401 3693 1982 1168 768 2900 214 3280
70,1068 1179 715 3464 3375 2567 464 3501 1076 297
71,3075 2568 1800 3337 2182 2907 2 3276 2399 1605
72,2067 640 2510 2602 3332 1855 543 2501 2633 1078
73,1275 170 151 461 1322 2836 3196 3374 433 3648
74,2370 3677 183 2622 3168 3479 482 1668 1456 1633
75,382 3476 3431 3684 1832 93 2801 487 984 3537
76,124 138 2512 1316 2265 1543 2282 3276 2076 732
77,2281 3583 1887 2086 2224 3448 2054 3677 2774 2509
78,1706 2086 228 2568 3417 880 1668 2031 3595 3075
79,1773 628 2278 2354 2041 0 2082 762 96 455
80,79 452 2345 3101 1246 1337 1884 1700 312 1630
81,2915 3411 1709 485 2143 1218 2418 298 1618 2687
82,174 1868 528 107 488 3701 3205 2920 2185 312
83,2630 2688 2501 3049 1855 1583 2297 1375 1913 2603
84,2132 1984 1245 163 2275 743 1820 353 457 213
85,3142 2933 1211 512 2256 2646 3694 2732 611 2688
86,1398 3113 1073 2458 3213 3282 2221 2272 1525 2768
87,1309 1193 3438 3067 1184 3644 2915 530 3231 1073
88,2466 3638 613 1707 809 3692 2646 132 922 2528
89,3272 1316 3153 3013 3409 2617 1543 1223 707 2169
90,650 221 2311 1781 2428 1371 724 2281 1427 3701
91,204 784 2587 1070 663 1652 1536 2636 3298 877
92,3248 2606 3418 1568 732 428 3693 913 740 237
93,232 1686 3406 2345 1246 570 3101 1700 452 1086
94,529 3628 1858 1840 2182 2006 406 1615 1720 3116
95,3408 16 1640 119 283 2626 3053 2468 1108 398
96,3157 2643 728 438 1371 2572 1315 1560 2774 3061
97,2529 168 3521 246 295 2215 625 467 43 2376
98,1887 183 1668 617 2622 989 3415 3600 3168 1633
99,1001 99 1374 2956 583 1471 1711 3705 1814 539
100,1832 3067 2801 3438 1193 382 462 2024 719 1184
101,166 3438 3669 3067 1193 2915 1184 1758 530 1655
102,1633 3415 3600 1422 1668 3395 1887 416 1052 2132
103,3511 3191 1825 397 2012 2481 501 1248 2976 105
104,2931 796 3125 2688 2676 3653 573 375 3456 1543
105,3439 3404 1367 3487 2172 456 3363 3539 709 2849
106,2980 2757 3238 293 1490 1809 2468 1956 2129 3327
107,2528 2086 2224 2054 883 809 1807 3595 3353 1386
108,2230 3364 2248 620 3653 498 2091 870 375 1354
109,1272 739 107 1517 801 1839 3371 378 3045 312
