user_id,item_id
0,3022 1583 472 3529 640 3013 1223 463 2757 584
1,331 3409 463 472 1337 2862 2297 1315 2980 3677
2,331 2862 1337 2256 3409 472 2980 463 3677 2297
3,3022 1583 472 3529 640 3013 1223 463 2757 584
4,472 3022 463 1583 3529 3013 3409 3677 476 1223
5,331 463 3677 1315 1337 472 2862 3409 3367 2297
6,331 3409 463 2397 1337 3677 472 1315 1044 2862
7,472 463 2862 3409 2297 2980 1223 1039 3022 1583
8,3022 1583 3529 3013 472 463 512 1223 2210 1316
9,3022 1583 472 3529 640 3013 463 1223 2757 584
10,472 2980 2862 463 2297 331 2256 3409 1039 1223
11,331 3409 463 472 2980 2862 2256 2688 2297 1223
12,3022 1583 472 640 3529 3013 1223 463 2757 584
13,3022 472 1583 3529 463 1223 2297 3013 2980 2210
14,3409 2402 3529 3013 3022 476 1583 1223 472 169
15,3022 1583 512 3013 3677 472 3529 463 2297 169
16,3409 472 331 463 3677 1315 476 3022 2688 1583
17,3022 472 3409 1583 3013 3677 3529 463 1223 476
18,3022 1583 472 3529 640 3013 463 1223 2757 584
19,3022 1583 3529 472 3013 2210 1223 463 2757 1316
20,463 472 3677 1315 1583 3022 2297 476 1811 1560
21,3409 463 3677 331 1315 472 2688 476 169 2402
22,1583 3022 472 3529 463 1223 2862 1039 640 476
23,3022 3529 1583 472 3013 1223 2757 2210 463 640
24,3677 1315 3409 463 331 472 2402 476 169 2688
25,3022 1583 472 3529 640 3013 463 1223 2757 584
26,463 3677 1315 3409 472 1560 3022 476 2688 331
27,3022 472 1583 463 3529 3409 476 3013 1223 2297
28,3022 3013 3677 1583 3529 2402 169 2210 1223 512
29,3409 463 3677 331 472 1315 476 3022 2688 2646
30,3022 3677 3013 1583 3529 2402 472 3409 169 1223
31,1583 3022 472 3529 640 463 3013 1223 1039 2210
32,3022 1583 472 3529 640 3013 1223 2757 463 584
33,331 2862 1337 2256 3409 472 2980 463 3677 2297
34,3409 3022 3529 2402 3013 1583 472 3677 476 2688
35,3022 1583 472 3529 640 3013 463 1223 2757 584
36,331 3409 2862 2397 3435 1337 1044 3677 472 3002
37,472 463 3409 3022 3677 2980 1315 3529 1583 476
38,331 2397 3002 1044 3409 3648 3435 983 1337 2354
39,331 3409 472 463 2862 1315 2980 2297 3677 476
40,3677 3022 472 463 3013 1315 1583 2402 1223 3529
41,3022 1583 3529 472 3013 2210 1223 1316 512 463
42,331 3409 2980 2256 472 2862 463 2688 2297 1315
43,3022 1583 472 3529 640 3013 1223 463 2757 584
44,3022 472 1583 463 1223 3529 3013 2757 640 3677
45,3022 1583 472 3529 640 3013 463 1223 2757 584
46,3022 3529 1583 472 3013 1223 2757 463 640 1316
47,3409 472 463 2402 476 3529 3022 331 1583 3677
48,3022 1583 463 472 3677 3409 3529 3013 476 169
49,463 3409 472 331 2862 2980 476 3677 1583 2297
50,3022 1583 472 3529 640 3013 1223 463 2757 584
51,3022 2210 1583 3529 3013 2630 1223 2688 169 1316
52,1583 3022 472 3529 640 463 3013 1223 2757 1039
53,472 2862 3409 463 1039 2297 2980 1583 3022 2256
54,331 3409 2397 2732 3435 293 2688 2256 2402 2862
55,3022 1583 472 3529 640 3013 463 1223 2757 584
56,3409 3529 2402 2732 3013 293 1030 472 476 331
57,3022 1583 472 3529 640 3013 463 1223 2757 584
