user_id,item_id
0,984 605 2801 453 1705 3657 1323 2090 3476 2291
1,232 1246 1884 3656 3101 1459 2561 560 452 350
2,1371 2774 438 2311 234 1560 382 1475 1315 2428
3,3390 2947 3562 605 106 2564 2169 94 3272 382
4,755 983 2237 1171 3087 2159 3002 672 3411 394
5,2900 254 1830 2397 3411 2143 3157 3339 2354 182
6,1884 1545 802 1868 1517 1337 1348 1272 2363 2185
7,2159 3660 2397 672 3530 1175 1287 2237 1160 983
8,232 389 3406 79 2345 3101 2023 1348 2561 1630
9,279 513 1045 6 3518 692 3652 1924 1340 3264
10,2960 382 361 1456 1371 650 2774 3390 106 605
11,3597 1365 216 1928 208 1124 2175 2129 3036 984
12,3671 3038 2221 90 621 1816 3534 1073 3234 1045
13,279 2488 772 2581 214 1481 1912 2606 3693 1392
14,3415 2132 1470 2639 3119 3231 2370 3168 1887 1984
15,3153 409 741 1316 3423 2862 2564 1223 1543 772
16,817 3546 1639 3355 89 1777 3435 1627 2437 506
17,1030 944 3528 3317 2328 165 793 82 3262 3441
18,1044 3371 1603 3000 609 1839 2519 640 3063 2763
19,528 389 607 1459 3656 3406 3276 350 1691 2345
20,2370 508 1382 3390 863 561 3353 3402 1807 3448
21,2118 2859 628 1919 1582 299 1385 723 2831 3619
22,2947 2617 605 1012 3272 3396 1792 984 793 3537
23,1341 2768 1816 20 3113 1040 3215 872 1227 2960
24,3013 320 3151 1011 124 2534 763 1403 6 2570
25,657 3569 2548 1184 1720 3438 677 2379 3065 2289
26,2528 2148 2054 883 124 707 94 2088 2076 3247
27,1012 605 1792 2960 2169 3482 793 3441 785 208
28,3031 2980 502 1271 165 3051 3472 119 2714 189
29,93 3653 573 2230 750 2477 3364 3537 187 1354
30,2024 2797 872 2538 361 1627 2140 1832 3215 20
31,3298 1725 784 1811 1652 2774 2076 2528 2281 2587
32,1543 1279 3013 772 1223 1830 463 3423 3153 36
33,3153 1316 2564 3409 1543 2862 3272 3529 472 1560
34,2745 3692 3159 3382 1614 2828 401 3418 1638 3131
35,1223 3013 2862 1279 1543 3409 741 796 2510 1638
36,1560 1315 3013 1223 2862 618 2564 2281 1316 3153
37,3339 32 2924 2853 2551 3565 2146 2003 1332 1422
38,3454 2499 356 433 2412 1514 1174 2734 1275 2943
39,234 1371 1315 512 2311 724 2916 2428 3157 1827
40,1858 107 1868 2653 1272 3262 2387 1037 1545 1830
41,2488 463 2337 1406 279 184 806 1568 1045 214
42,1058 2082 1527 2354 1773 2584 680 2158 533 353
